S.No,States/UTs,TIN,State Code,Age of impacting Vehicle,Total Accidents,Persons Killed,Greviously Injured,Minor Injury
1,Andhra Pradesh,37,AD,Less than 5 years,7955,2953,2241,5257
2,Arunachal Pradesh,12,AR,Less than 5 years,153,86,138,57
3,Assam,18,AS,Less than 5 years,2632,1086,1866,180
4,Bihar,10,BR,Less than 5 years,3859,2900,3262,195
5,Chhattisgarh,22,CG,Less than 5 years,3725,1600,534,2926
6,Goa,30,GA,Less than 5 years,1155,87,91,231
7,Gujarat,24,GJ,Less than 5 years,4874,2207,2551,2166
8,Haryana,6,HR,Less than 5 years,1078,486,237,621
9,Himachal Pradesh,2,HP,Less than 5 years,1114,503,621,1097
10,Jharkhand,20,JH,Less than 5 years,1336,997,758,203
11,Karnataka,29,KA,Less than 5 years,13254,3788,7263,8367
12,Kerala,32,KL,Less than 5 years,9041,899,7180,2750
13,Madhya Pradesh,23,MP,Less than 5 years,12263,3079,1669,12508
14,Maharashtra,27,MH,Less than 5 years,11914,5351,6549,2845
15,Manipur,14,MN,Less than 5 years,82,22,41,85
16,Meghalaya,17,ML,Less than 5 years,74,52,33,62
17,Mizoram,15,MZ,Less than 5 years,41,26,14,17
18,Nagaland,13,NL,Less than 5 years,284,13,23,73
19,Orissa,21,OD,Less than 5 years,3266,1511,1603,1042
20,Punjab,3,PB,Less than 5 years,1656,1238,562,312
21,Rajasthan,8,RJ,Less than 5 years,8437,3909,2014,5913
22,Sikkim,11,SK,Less than 5 years,41,15,38,22
23,Tamil Nadu,33,TN,Less than 5 years,15647,4200,6610,9264
24,Telangana,36,TS,Less than 5 years,9428,3254,1098,7929
25,Tripura,16,TR,Less than 5 years,268,102,287,5
26,Uttarakhand,9,UP,Less than 5 years,322,160,195,112
27,Uttar Pradesh,5,UK,Less than 5 years,6528,3529,2882,1392
28,West Bengal,19,WB,Less than 5 years,3560,1907,2711,397
29,A & N Islands,35,AN,Less than 5 years,49,5,14,32
30,Chandigarh,4,CH,Less than 5 years,0,0,0,0
31,D & N Haveli,26,DNHDD,Less than 5 years,47,24,31,13
33,Delhi*,7,DL,Less than 5 years,779,298,39,665
34,Jammu & Kashmir,1,JK,Less than 5 years,1422,197,689,1089
