S.No,States/UTs,YEAR,Changed Total Road Accident,Changed Total Accidents Per Lakh Population,Changed Total Killed in Road Accidents,Changed Total Persons Died in Road Accidents Per Lakh Population,Changed Total Injured in Road Accidents,Changed Total Injured in Road Accidents Per Lakh Population,Changed Severity of Road Accidents,Changed Fatal Road Accidents ,Changed Road Accidents on National Highways,Changed Killed in Road Accidents on National Highways,Changed Persons Injured in Road Accidents on National Highways,Changed Fatal Road Accidents on National Highways,Changed Road Accidents on State Highways,Changed Killed in Road Accidents on State Highways,Changed Injured in Road Accidents on State Highways,Changed Fatal Road Accidents on State Highways,Changed Total Other Road Accidents,Changed Killed on Other Road Accidents,Changed Fatal Accidents Other Road Accidents,Changed Injured on Other Road Accidents,Changed
1,Andhra Pradesh,2021,2047,19,1147,8,1365,18,1.9,1054,1074,744,1108,609,196,200,-44,201,777,203,244,301,
2,Arunachal Pradesh,2021,149,9,84,5,162,9,1,89,80,55,67,57,36,17,46,19,33,12,13,49,
3,Assam,2021,816,1,407,1,494,0,1.1,410,445,252,262,254,30,-6,44,5,341,161,151,188,
4,Bihar,2021,914,0,961,0,930,0,2.7,864,248,232,-6,238,404,338,555,316,262,391,310,381,
5,Chhattisgarh,2021,719,-1,765,1,178,-3,3.9,748,147,273,-169,284,-5,42,225,51,577,450,413,122,
6,Goa,2021,474,74,3,5,-37,13,-1.5,5,329,22,-34,20,116,0,-27,2,29,-19,-17,24,
7,Gujarat,2021,1788,2,1282,2,1688,2,3,1203,172,280,21,255,747,483,777,446,869,519,502,890,
8,Haryana,2021,502,1,199,0,462,2,-0.4,222,135,103,127,246,-210,-12,-87,-12,577,108,-12,422,
9,Himachal Pradesh,2021,165,2,159,2,231,3,3.9,137,134,111,53,115,94,40,254,30,-63,8,-8,-76,
10,Jharkhand,2021,323,-1,469,0,-68,-1,5.2,446,118,255,-92,200,-281,-140,-295,-106,486,354,352,319,
11,Karnataka,2021,469,-1,278,0,1262,0,0.4,374,232,157,98,189,-645,-122,-284,-76,882,243,261,1448,
12,Kerala,2021,5419,17,450,2,6265,20,-0.4,439,1454,88,1630,81,1414,139,1643,148,2551,223,210,2992,
13,Madhya Pradesh,2021,3611,3,916,0,2500,1,0.1,932,1164,367,754,419,-276,103,-495,140,2723,446,373,2241,
14,Maharashtra,2021,4506,4,1959,2,3157,3,-0.4,1781,1000,552,648,446,810,440,742,422,2696,967,913,1767,
15,Manipur,2021,-66,-4,-17,-1,-159,-9,0.7,-13,-37,-13,-81,-16,-31,5,-77,6,2,-9,-3,-1,
16,Meghalaya,2021,31,1,43,1,43,0,9,20,25,31,15,16,25,26,35,16,-19,-14,-12,-7,
17,Mizoram,2021,16,1,14,1,-3,-1,2,7,4,3,1,4,13,11,12,3,-1,0,0,-16,
18,Nagaland,2021,246,14,2,1,94,5,-3.2,10,179,-4,72,4,27,3,10,0,40,3,6,12,
19,Odisha,2021,1166,3,343,1,960,2,-2,365,414,152,99,181,-26,-80,126,-109,778,271,293,735,
20,Punjab,2021,668,2,691,2,168,0,3.3,604,256,458,126,237,342,251,76,273,70,-18,94,-34,
21,Rajasthan,2021,1837,1,793,1,2575,2,-0.5,692,660,509,969,423,303,143,513,103,874,141,166,1093,
22,Sikkim,2021,17,2,9,1,26,4,2,6,36,9,49,11,6,2,8,2,-25,-2,-7,-31,
