S.No,States/UTs,YEAR,Total Road Accident,Total Accidents Per Lakh Population,Total Killed in Road Accidents,Total Persons Died in Road Accidents Per Lakh Population,Total Injured in Road Accidents,Total Injured in Road Accidents Per Lakh Population,Severity of Road Accidents,Fatal Road Accidents ,Road Accidents on National Highways,Killed in Road Accidents on National Highways,Persons Injured in Road Accidents on National Highways,Fatal Road Accidents on National Highways,Road Accidents on State Highways,Killed in Road Accidents on State Highways,Injured in Road Accidents on State Highways,Fatal Road Accidents on State Highways,Total Other Road Accidents,Killed on Other Road Accidents,Fatal Accidents Other Road Accidents,Injured on Other Road Accidents
1,Andhra Pradesh,2021,21556,41,8186,16,21040,40,38,7585,8241,3602,8323,3226,4704,1904,4786,1781,8611,2680,2578,7931
2,Arunachal Pradesh,2021,283,19,157,10,347,23,55.5,150,147,87,150,85,75,39,106,36,61,31,29,91
3,Assam,2021,7411,21,3036,9,5763,16,41,2893,3408,1574,2631,1479,1782,629,1460,601,2221,833,813,1672
4,Bihar,2021,9553,8,7660,6,7946,7,80.2,7061,4349,3517,3534,3242,2115,1747,1927,1598,3089,2396,2221,2485
5,Chhattisgarh,2021,12375,42,5371,18,10683,36,43.4,4982,3610,1663,2906,1505,2166,998,2056,924,6599,2710,2553,5721
6,Goa,2021,2849,183,226,15,843,54,7.9,218,1116,83,228,79,444,30,103,30,1289,113,109,512
7,Gujarat,2021,15186,22,7452,11,13690,20,49.1,6825,3406,2077,2781,1867,4394,2391,4350,2150,7386,2984,2808,6559
8,Haryana,2021,9933,34,4706,16,8121,28,47.4,4403,3174,1766,2514,1729,1662,902,1334,891,5097,2038,1783,4273
9,Himachal Pradesh,2021,2404,33,1052,14,3454,47,43.8,871,1179,425,1645,381,517,203,784,161,708,424,329,1025
10,Jharkhand,2021,4728,12,3513,9,3227,8,74.3,3221,1890,1496,1138,1357,1041,795,733,724,1797,1222,1140,1356
11,Karnataka,2021,34647,52,10038,15,40754,61,29,9458,11462,3487,13229,3228,8820,2777,11507,2609,14365,3774,3621,16018
12,Kerala,2021,33296,94,3429,10,36775,104,10.3,3262,8048,975,8984,912,7290,768,8161,731,17958,1686,1619,19630
13,Madhya Pradesh,2021,48877,58,12057,14,48956,58,24.7,10806,11030,3389,10468,3033,11475,3022,12052,2674,26372,5646,5099,26436
14,Maharashtra,2021,29477,24,13528,11,23071,19,45.9,12554,7501,4080,5901,3678,6328,3411,5078,3151,15648,6037,5725,12092
15,Manipur,2021,366,12,110,4,504,16,30.1,99,236,77,320,66,75,21,99,21,55,12,12,85
16,Meghalaya,2021,245,8,187,6,263,8,76.3,150,153,112,175,91,46,39,48,29,46,36,30,40
17,Mizoram,2021,69,6,56,5,65,5,81.2,48,29,23,27,22,40,33,38,26,0,0,0,0
18,Nagaland,2021,746,34,55,3,380,17,7.4,56,488,25,240,26,143,16,82,16,115,14,14,58
19,Odisha,2021,10983,25,5081,12,9782,22,46.3,4756,4087,1933,3520,1812,2339,1099,2129,1001,4557,2049,1943,4133
20,Punjab,2021,5871,19,4589,15,3072,10,78.2,4250,2288,1950,1100,1714,1825,1363,994,1266,1758,1276,1270,978
21,Rajasthan,2021,20951,26,10043,13,19344,24,47.9,9055,6424,3829,6065,3270,3560,1945,3385,1687,10967,4269,4098,9894
22,Sikkim,2021,155,23,56,8,244,36,36.1,40,73,23,110,21,53,18,79,14,29,15,5,55
23,Tamil Nadu,2021,55682,73,15384,20,55996,73,27.6,14747,16869,5263,17596,4944,18656,5112,18409,4911,20157,5009,4892,19991
24,Telangana,2021,21315,0,7557,0,20107,0,35.5,7080,7214,2735,6916,2507,2192,864,2075,807,11909,3958,3766,11116
25,Tripura,2021,479,12,194,5,547,13,40.5,181,199,94,207,86,171,60,243,56,109,40,39,97
26,Uttarakhand,2021,1405,12,820,7,1091,10,58.4,742,711,430,546,393,294,174,238,152,400,216,197,307
27,Uttar Pradesh,2021,37729,16,21227,9,24897,11,56.3,19026,14540,8506,9512,7630,11096,6266,7155,5669,12093,6455,5727,8230
28,West Bengal,2021,11937,12,5800,6,10454,11,48.6,5405,3821,2177,3570,1989,2126,1187,1935,1106,5990,2436,2310,4949
29,A & N Islands,2021,115,29,20,5,97,24,17.4,19,41,5,44,5,31,4,25,3,43,11,11,28
30,Chandigarh,2021,208,17,96,8,172,14,46.2,94,29,21,21,21,0,0,0,0,179,75,73,151
31,D & N Haveli,2021,140,23,76,13,171,28,54.3,71,0,0,0,0,56,29,66,28,84,47,43,105
32,Daman & Diu,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Delhi,2021,4720,23,1239,9,4273,32,26.3,1206,457,201,427,200,0,0,0,0,4263,1038,1006,3846
34,Jammu & Kashmir,2021,5452,41,774,4,6972,34,14.2,642,1899,268,2175,234,662,78,958,59,2891,428,349,3839
35,Ladakh,2021,236,0,56,19,242,82,23.7,48,119,27,119,24,82,20,71,18,35,9,6,52
36,Lakshadweep,2021,4,6,1,2,6,9,25,1,0,0,0,0,0,0,0,0,4,1,1,6
37,Puducherry,2021,1049,67,140,9,1099,70,13.3,158,587,87,643,97,122,19,117,16,340,34,45,339
1,Andhra Pradesh,2020,19509,22,7039,8,19675,22,36.1,6531,7167,2858,7215,2617,4508,1704,4830,1580,7834,2477,2334,7630
2,Arunachal Pradesh,2020,134,10,73,5,185,14,54.5,61,67,32,83,28,39,22,60,17,28,19,16,42
3,Assam,2020,6595,20,2629,8,5269,16,39.9,2483,2963,1322,2369,1225,1752,635,1416,596,1880,672,662,1484
4,Bihar,2020,8639,8,6699,6,7016,7,77.5,6197,4101,3285,3540,3004,1711,1409,1372,1282,2827,2005,1911,2104
5,Chhattisgarh,2020,11656,43,4606,17,10505,39,39.5,4234,3463,1390,3075,1221,2171,956,1831,873,6022,2260,2140,5599
6,Goa,2020,2375,109,223,10,880,41,9.4,213,787,61,262,59,328,30,130,28,1260,132,126,488
7,Gujarat,2020,13398,20,6170,9,12002,18,46.1,5622,3234,1797,2760,1612,3647,1908,3573,1704,6517,2465,2306,5669
8,Haryana,2020,9431,33,4507,16,7659,26,47.8,4181,3039,1663,2387,1483,1872,914,1421,903,4520,1930,1795,3851
9,Himachal Pradesh,2020,2239,31,893,12,3223,44,39.9,734,1045,314,1592,266,423,163,530,131,771,416,337,1101
10,Jharkhand,2020,4405,13,3044,9,3295,9,69.1,2775,1772,1241,1230,1157,1322,935,1028,830,1311,868,788,1037
11,Karnataka,2020,34178,53,9760,15,39492,61,28.6,9084,11230,3330,13131,3039,9465,2899,11791,2685,13483,3531,3360,14570
12,Kerala,2020,27877,77,2979,8,30510,84,10.7,2823,6594,887,7354,831,5876,629,6518,583,15407,1463,1409,16638
13,Madhya Pradesh,2020,45266,55,11141,14,46456,57,24.6,9874,9866,3022,9714,2614,11751,2919,12547,2534,23649,5200,4726,24195
14,Maharashtra,2020,24971,20,11569,9,19914,16,46.3,10773,6501,3528,5253,3232,5518,2971,4336,2729,12952,5070,4812,10325
15,Manipur,2020,432,16,127,5,663,25,29.4,112,273,90,401,82,106,16,176,15,53,21,15,86
16,Meghalaya,2020,214,7,144,5,220,8,67.3,130,128,81,160,75,21,13,13,13,65,50,42,47
17,Mizoram,2020,53,5,42,4,68,6,79.2,41,25,20,26,18,27,22,26,23,1,0,0,16
18,Nagaland,2020,500,20,53,2,286,12,10.6,46,309,29,168,22,116,13,72,16,75,11,8,46
19,Odisha,2020,9817,22,4738,11,8822,20,48.3,4391,3673,1781,3421,1631,2365,1179,2003,1110,3779,1778,1650,3398
20,Punjab,2020,5203,17,3898,13,2904,10,74.9,3646,2032,1492,974,1477,1483,1112,918,993,1688,1294,1176,1012
