S. No,States/UTs,Month,Fatal Accidents,Total Accidents,Persons Killed,Greviously Injured,Minor Injury
1,Andhra Pradesh,January,686,2120,742,599,1606
2,Arunachal Pradesh,January,16,28,16,12,9
3,Assam,January,307,734,323,540,58
4,Bihar,January,605,848,645,642,40
5,Chhattisgarh,January,606,1480,652,246,1221
6,Goa,January,24,300,25,21,78
7,Gujarat,January,649,1461,728,755,525
8,Haryana,January,345,773,361,174,450
9,Himachal Pradesh,January,85,211,117,106,170
10,Jharkhand,January,285,431,313,227,96
11,Karnataka,January,972,3606,1043,2245,1961
12,Kerala,January,378,3602,407,2907,1136
13,Madhya Pradesh,January,1079,5181,1194,805,4437
14,Maharashtra,January,1251,2961,1347,1733,745
15,Manipur,January,8,33,9,14,23
16,Meghalaya,January,15,26,20,19,9
17,Mizoram,January,2,5,3,3,2
18,Nagaland,January,7,79,6,37,11
19,Odisha,January,467,1098,503,614,429
20,Punjab,January,325,448,355,142,76
21,Rajasthan,January,815,2141,899,632,1397
22,Sikkim,January,2,16,3,8,18
23,Tamil Nadu,January,1422,5322,1483,2618,2808
24,Telangana,January,701,2068,755,319,1703
25,Tripura,January,15,47,17,43,2
26,Uttarakhand,January,78,142,90,96,34
27,Uttar Pradesh,January,1555,3069,1768,1278,678
28,West Bengal,January,518,1190,567,823,219
29,A & N Island,January,1,14,1,8,7
30,Chandigarh,January,8,20,8,1,17
31,D & N Haveli,January,5,14,5,13,9
32,Daman & Diu,January,0,0,0,0,0
33,Delhi,January,114,388,115,17,309
34,J & K,January,31,341,33,273,159
35,Ladakh,January,4,8,5,2,3
36,Lakshadweep,January,0,0,0,0,0
37,Puducherry,January,16,100,17,48,35
1,Andhra Pradesh,February,650,1845,699,514,1331
2,Arunachal Pradesh,February,11,30,11,18,10
3,Assam,February,334,776,352,529,61
4,Bihar,February,635,888,699,776,47
5,Chhattisgarh,February,521,1306,561,182,964
6,Goa,February,10,237,11,16,67
7,Gujarat,February,545,1306,604,705,488
8,Haryana,February,379,811,410,158,494
9,Himachal Pradesh,February,69,175,73,95,162
10,Jharkhand,February,302,445,332,226,49
11,Karnataka,February,890,3177,947,1959,1843
12,Kerala,February,336,3375,362,2737,1011
13,Madhya Pradesh,February,940,4439,1135,565,3923
14,Maharashtra,February,1198,2787,1303,1534,612
15,Manipur,February,7,30,10,12,47
16,Meghalaya,February,14,25,15,20,9
17,Mizoram,February,3,5,3,1,1
18,Nagaland,February,11,48,8,7,14
19,Odisha,February,440,1029,472,587,423
20,Punjab,February,351,465,375,153,102
21,Rajasthan,February,744,1914,838,492,1456
22,Sikkim,February,5,19,6,12,7
23,Tamil Nadu,February,1434,5300,1502,2486,2717
24,Telangana,February,616,1821,664,271,1467
25,Tripura,February,14,35,17,59,0
26,Uttarakhand,February,69,129,74,84,28
27,Uttar Pradesh,February,1488,2990,1677,1313,641
28,West Bengal,February,485,1040,524,761,134
29,A & N Island,February,1,9,1,5,5
30,Chandigarh,February,11,16,11,0,6
31,D & N Haveli,February,7,15,8,13,4
32,Daman & Diu,February,0,0,0,0,0
33,Delhi,February,88,369,88,20,299
34,J & K,February,41,382,54,324,164
35,Ladakh,February,2,9,3,1,10
36,Lakshadweep,February,0,0,0,0,0
37,Puducherry,February,13,92,15,40,53
1,Andhra Pradesh,March,669,1906,743,590,1354
2,Arunachal Pradesh,March,10,19,10,9,9
3,Assam,March,280,743,290,566,69
4,Bihar,March,617,839,672,731,47
5,Chhattisgarh,March,544,1246,589,188,820
6,Goa,March,21,286,21,23,60
7,Gujarat,March,648,1448,703,728,557
8,Haryana,March,414,941,446,203,628
9,Himachal Pradesh,March,84,196,112,100,152
10,Jharkhand,March,266,383,287,194,78
11,Karnataka,March,976,3512,1018,2225,2055
12,Kerala,March,341,3505,355,2808,1089
13,Madhya Pradesh,March,941,4449,1064,593,3982
14,Maharashtra,March,1215,2864,1302,1519,613
15,Manipur,March,14,51,15,19,52
16,Meghalaya,March,16,32,19,13,4
17,Mizoram,March,9,14,9,2,0
18,Nagaland,March,9,87,11,10,31
19,Odisha,March,487,1099,516,563,477
20,Punjab,March,337,485,358,171,93
21,Rajasthan,March,832,1982,919,469,1425
22,Sikkim,March,5,15,8,10,15
23,Tamil Nadu,March,1557,5543,1624,2571,2913
24,Telangana,March,599,1849,636,254,1578
25,Tripura,March,22,60,27,87,2
26,Uttarakhand,March,78,150,83,95,34
27,Uttar Pradesh,March,1743,3577,1980,1635,814
28,West Bengal,March,501,1093,544,817,230
29,A & N Island,March,2,12,2,3,4
30,Chandigarh,March,11,23,12,0,23
31,D & N Haveli,March,7,16,7,13,3
32,Daman & Diu,March,0,0,0,0,0
33,Delhi,March,122,482,127,15,441
34,J & K,March,50,477,57,390,220
35,Ladakh,March,1,15,2,5,5
36,Lakshadweep,March,0,1,0,0,2
37,Puducherry,March,14,91,11,52,58
1,Andhra Pradesh,April,657,1703,708,446,1203
2,Arunachal Pradesh,April,16,23,17,6,11
3,Assam,April,269,695,280,528,50
4,Bihar,April,630,835,684,690,25
5,Chhattisgarh,April,280,586,301,73,399
6,Goa,April,21,209,21,11,43
7,Gujarat,April,491,1005,530,477,331
8,Haryana,April,391,831,417,164,497
9,Himachal Pradesh,April,72,203,94,116,190
10,Jharkhand,April,247,352,266,193,57
11,Karnataka,April,832,2895,898,1682,1731
12,Kerala,April,313,3157,326,2542,953
13,Madhya Pradesh,April,791,3000,924,352,2531
14,Maharashtra,April,811,1732,875,859,403
15,Manipur,April,16,36,15,18,36
16,Meghalaya,April,16,26,18,23,12
17,Mizoram,April,3,5,5,3,2
18,Nagaland,April,4,57,4,9,13
19,Odisha,April,385,865,409,447,299
20,Punjab,April,347,471,363,149,82
21,Rajasthan,April,744,1673,840,431,1074
22,Sikkim,April,4,14,4,12,17
23,Tamil Nadu,April,1272,4628,1329,2153,2569
24,Telangana,April,573,1578,610,168,1249
25,Tripura,April,18,47,18,40,3
26,Uttarakhand,April,54,95,64,43,18
27,Uttar Pradesh,April,1370,2707,1547,1143,617
28,West Bengal,April,451,937,485,613,137
29,A & N Island,April,2,11,2,3,13
30,Chandigarh,April,10,15,10,2,6
31,D & N Haveli,April,6,7,6,2,1
32,Daman & Diu,April,0,0,0,0,0
33,Delhi,April,78,297,78,11,243
34,J & K,April,57,444,65,338,253
35,Ladakh,April,1,12,1,4,14
36,Lakshadweep,April,0,0,0,0,0
37,Puducherry,April,12,89,12,50,53
1,Andhra Pradesh,May,532,1233,585,292,818
2,Arunachal Pradesh,May,12,16,12,17,6
3,Assam,May,201,522,218,356,43
4,Bihar,May,600,795,657,658,42
5,Chhattisgarh,May,241,521,255,68,288
6,Goa,May,11,131,12,4,28
7,Gujarat,May,508,989,554,514,377
8,Haryana,May,243,498,259,97,295
9,Himachal Pradesh,May,48,110,59,51,75
10,Jharkhand,May,257,341,277,163,40
11,Karnataka,May,505,1536,539,827,757
12,Kerala,May,118,1052,123,820,300
13,Madhya Pradesh,May,819,2672,919,328,2293
14,Maharashtra,May,883,1849,948,882,406
15,Manipur,May,3,9,3,5,5
16,Meghalaya,May,8,13,9,7,2
17,Mizoram,May,6,8,6,0,1
18,Nagaland,May,3,36,3,5,16
19,Odisha,May,284,655,302,313,214
20,Punjab,May,297,401,309,125,56
21,Rajasthan,May,509,991,564,254,584
22,Sikkim,May,5,12,8,8,13
23,Tamil Nadu,May,706,2384,746,1039,1250
24,Telangana,May,525,1346,546,153,941
25,Tripura,May,9,27,9,33,0
26,Uttarakhand,May,34,59,36,26,12
27,Uttar Pradesh,May,1599,2865,1799,1181,609
28,West Bengal,May,404,734,433,461,81
29,A & N Island,May,1,6,1,0,4
30,Chandigarh,May,6,11,6,1,5
31,D & N Haveli,May,5,7,6,2,5
32,Daman & Diu,May,0,0,0,0,0
33,Delhi,May,69,235,71,10,196
34,J & K,May,47,383,55,190,245
35,Ladakh,May,3,20,3,3,17
36,Lakshadweep,May,0,1,0,0,1
37,Puducherry,May,10,62,6,17,16
1,Andhra Pradesh,June,636,1594,671,431,1034
2,Arunachal Pradesh,June,7,14,7,13,8
3,Assam,June,150,412,157,299,39
4,Bihar,June,621,811,683,668,39
5,Chhattisgarh,June,419,948,463,120,744
6,Goa,June,13,169,13,12,42
7,Gujarat,June,585,1229,630,650,422
8,Haryana,June,359,790,377,159,481
9,Himachal Pradesh,June,66,174,84,101,159
10,Jharkhand,June,258,370,284,210,59
11,Karnataka,June,611,2072,647,1156,1164
12,Kerala,June,181,1539,195,1189,414
13,Madhya Pradesh,June,998,4111,1098,473,3508
14,Maharashtra,June,992,2227,1062,1167,557
15,Manipur,June,3,18,4,9,10
16,Meghalaya,June,10,12,16,13,1
17,Mizoram,June,2,4,2,1,7
18,Nagaland,June,2,44,2,7,10
19,Odisha,June,354,824,385,414,295
20,Punjab,June,313,435,341,149,59
21,Rajasthan,June,650,1410,695,328,846
22,Sikkim,June,4,8,9,2,4
23,Tamil Nadu,June,964,3291,1017,1323,1919
24,Telangana,June,556,1605,604,186,1252
25,Tripura,June,13,25,13,21,0
26,Uttarakhand,June,50,84,52,53,7
27,Uttar Pradesh,June,1672,3149,1850,1310,676
28,West Bengal,June,404,818,437,644,84
29,A & N Island,June,1,3,1,0,1
30,Chandigarh,June,2,13,2,1,18
31,D & N Haveli,June,3,6,3,4,1
32,Daman & Diu,June,0,0,0,0,0
33,Delhi,June,97,351,103,14,286
34,J & K,June,51,465,62,276,294
35,Ladakh,June,4,29,4,4,31
36,Lakshadweep,June,0,1,0,0,3
37,Puducherry,June,11,87,12,29,46
1,Andhra Pradesh,July,617,1792,670,470,1332
2,Arunachal Pradesh,July,13,18,14,51,9
3,Assam,July,161,446,169,294,31
4,Bihar,July,550,723,607,585,16
5,Chhattisgarh,July,438,1052,468,123,693
6,Goa,July,14,198,14,13,44
7,Gujarat,July,502,1200,542,596,448
8,Haryana,July,355,818,381,123,539
9,Himachal Pradesh,July,72,211,83,91,200
10,Jharkhand,July,247,365,270,209,49
11,Karnataka,July,718,2584,759,1389,1540
12,Kerala,July,199,2139,206,1716,622
13,Madhya Pradesh,July,911,4054,1007,496,3357
14,Maharashtra,July,996,2328,1089,1276,499
15,Manipur,July,3,16,3,6,18
16,Meghalaya,July,10,12,14,1,5
17,Mizoram,July,4,4,4,4,4
18,Nagaland,July,3,53,3,9,22
19,Odisha,July,375,836,399,432,277
