S.No,States/UTs,Road Environment,Total Accidents,Persons Killed,Greviously Injured,Minor Injury
1,Andhra Pradesh,Residential Area,5164,1891,1535,3476
2,Arunachal Pradesh,Residential Area,35,16,24,12
3,Assam,Residential Area,1479,619,1106,113
4,Bihar,Residential Area,1678,1295,1306,75
5,Chhattisgarh,Residential Area,3071,1195,398,2331
6,Goa,Residential Area,943,79,67,213
7,Gujarat,Residential Area,2757,1170,1388,1062
8,Haryana,Residential Area,1104,490,163,690
9,Himachal Pradesh,Residential Area,316,133,156,266
10,Jharkhand,Residential Area,1021,735,616,153
11,Karnataka,Residential Area,3972,893,2355,2131
12,Kerala,Residential Area,3120,341,2533,918
13,Madhya Pradesh,Residential Area,9782,2237,1148,8478
14,Maharashtra*,Residential Area,9020,3164,5113,2342
15,Manipur,Residential Area,176,52,57,193
16,Meghalaya,Residential Area,80,54,38,69
17,Mizoram,Residential Area,34,20,11,13
18,Nagaland,Residential Area,68,8,22,27
19,Orissa,Residential Area,1663,743,869,692
20,Punjab,Residential Area,945,803,354,175
21,Rajasthan,Residential Area,3290,1299,655,2360
22,Sikkim,Residential Area,17,9,21,19
23,Tamil Nadu,Residential Area,9993,2563,4173,5709
24,Telangana,Residential Area,3989,1145,544,3255
25,Tripura,Residential Area,177,74,198,3
26,Uttarakhand,Residential Area,284,130,163,50
27,Uttar Pradesh,Residential Area,6796,3749,2990,1535
28,West Bengal,Residential Area,3937,1709,2777,596
29,A & N Islands,Residential Area,52,9,8,36
30,Chandigarh,Residential Area,11,2,2,8
31,D & N Haveli,Residential Area,77,40,56,53
32,Daman & Diu,Residential Area,0,0,0,0
33,Delhi,Residential Area,533,103,23,562
34,Jammu & Kashmir,Residential Area,923,114,355,581
35,Ladakh,Residential Area,52,14,11,56
36,Lakshadweep,Residential Area,4,1,0,6
37,Puducherry,Residential Area,228,22,93,139
1,Andhra Pradesh,Institutional Area,1279,422,540,947
2,Arunachal Pradesh,Institutional Area,28,14,27,16
3,Assam,Institutional Area,822,309,530,60
4,Bihar,Institutional Area,645,479,591,14
5,Chhattisgarh,Institutional Area,508,184,80,372
6,Goa,Institutional Area,367,21,24,78
7,Gujarat,Institutional Area,946,472,497,417
8,Haryana,Institutional Area,579,236,124,349
9,Himachal Pradesh,Institutional Area,95,34,61,70
10,Jharkhand,Institutional Area,405,274,264,123
11,Karnataka,Institutional Area,2271,606,1312,1131
12,Kerala,Institutional Area,1159,123,918,366
13,Madhya Pradesh,Institutional Area,2934,590,386,2593
14,Maharashtra*,Institutional Area,1650,694,887,347
15,Manipur,Institutional Area,27,8,6,33
16,Meghalaya,Institutional Area,11,6,10,1
17,Mizoram,Institutional Area,0,0,0,0
18,Nagaland,Institutional Area,40,0,15,13
19,Orissa,Institutional Area,683,255,441,250
20,Punjab,Institutional Area,589,451,265,112
21,Rajasthan,Institutional Area,745,248,195,471
22,Sikkim,Institutional Area,18,4,15,16
23,Tamil Nadu,Institutional Area,7183,1926,2867,4239
24,Telangana,Institutional Area,324,104,32,303
25,Tripura,Institutional Area,77,26,79,0
26,Uttarakhand,Institutional Area,35,21,23,5
27,Uttar Pradesh,Institutional Area,3604,1900,1533,870
28,West Bengal,Institutional Area,420,144,266,89
29,A & N Islands,Institutional Area,10,3,2,7
30,Chandigarh,Institutional Area,7,3,0,7
31,D & N Haveli,Institutional Area,15,7,10,3
32,Daman & Diu,Institutional Area,0,0,0,0
33,Delhi,Institutional Area,401,142,24,374
34,Jammu & Kashmir,Institutional Area,131,18,203,58
35,Ladakh,Institutional Area,20,8,7,8
