S.No,States/UTs,Type of Traffic Violations,Number of Accidents,Persons  Killed,Greviously Injured,Minor Injury
1,Andhra Pradesh,Over-Speeding,17188,6513,4720,11985
2,Arunachal Pradesh,Over-Speeding,119,70,104,36
3,Assam,Over-Speeding,5023,2126,3554,368
4,Bihar,Over-Speeding,2886,2284,2292,56
5,Chhattisgarh,Over-Speeding,10306,4602,1290,7525
6,Goa,Over-Speeding,2460,203,183,602
7,Gujarat,Over-Speeding,14351,7168,7298,5317
8,Haryana,Over-Speeding,6099,2986,839,3955
9,Himachal Pradesh,Over-Speeding,956,408,490,859
10,Jharkhand,Over-Speeding,3689,2724,2022,421
11,Karnataka,Over-Speeding,31485,9101,17175,19341
12,Kerala,Over-Speeding,19735,1885,15867,6169
13,Madhya Pradesh,Over-Speeding,36895,9541,4409,33176
14,Maharashtra,Over-Speeding,20860,9829,11369,4558
15,Manipur,Over-Speeding,206,59,80,206
16,Meghalaya,Over-Speeding,116,82,77,57
17,Mizoram,Over-Speeding,38,32,24,24
18,Nagaland,Over-Speeding,334,30,48,87
19,Orissa,Over-Speeding,7654,3655,3909,2711
20,Punjab,Over-Speeding,4183,3276,1407,757
21,Rajasthan,Over-Speeding,17094,8236,3841,11809
22,Sikkim,Over-Speeding,64,23,42,35
23,Tamil Nadu,Over-Speeding,47731,12803,20227,28148
24,Telangana,Over-Speeding,17386,6638,2465,13984
25,Tripura,Over-Speeding,446,184,502,6
26,Uttarakhand,Over-Speeding,1106,595,656,193
27,Uttar Pradesh,Over-Speeding,14894,8485,6772,3094
28,West Bengal,Over-Speeding,3992,2217,3123,468
29,A & N Islands,Over-Speeding,12,1,7,3
30,Chandigarh,Over-Speeding,184,83,7,143
31,D & N Haveli,Over-Speeding,128,70,93,63
32,Daman & Diu,Over-Speeding,0,0,0,0
33,Delhi,Over-Speeding,1824,437,103,1584
34,Jammu & Kashmir*,Over-Speeding,5351,772,3895,2907
35,Ladakh,Over-Speeding,63,27,19,27
36,Lakshadweep,Over-Speeding,3,0,0,6
37,Puducherry,Over-Speeding,661,91,318,378
1,Andhra Pradesh,Drunken Driving/ Consumption of alcohol & drug,121,50,12,52
2,Arunachal Pradesh,Drunken Driving/ Consumption of alcohol & drug,56,32,54,24
3,Assam,Drunken Driving/ Consumption of alcohol & drug,677,318,526,26
4,Bihar,Drunken Driving/ Consumption of alcohol & drug,51,12,46,5
5,Chhattisgarh,Drunken Driving/ Consumption of alcohol & drug,74,28,3,89
6,Goa,Drunken Driving/ Consumption of alcohol & drug,9,0,3,0
7,Gujarat,Drunken Driving/ Consumption of alcohol & drug,64,15,27,30
8,Haryana,Drunken Driving/ Consumption of alcohol & drug,75,31,6,56
9,Himachal Pradesh,Drunken Driving/ Consumption of alcohol & drug,67,22,27,60
10,Jharkhand,Drunken Driving/ Consumption of alcohol & drug,304,223,174,74
11,Karnataka,Drunken Driving/ Consumption of alcohol & drug,190,99,68,87
12,Kerala,Drunken Driving/ Consumption of alcohol & drug,83,20,42,35
13,Madhya Pradesh,Drunken Driving/ Consumption of alcohol & drug,2065,332,297,1348
14,Maharashtra,Drunken Driving/ Consumption of alcohol & drug,257,94,140,97
15,Manipur,Drunken Driving/ Consumption of alcohol & drug,14,9,2,13
16,Meghalaya,Drunken Driving/ Consumption of alcohol & drug,14,23,37,7
17,Mizoram,Drunken Driving/ Consumption of alcohol & drug,14,11,4,2
18,Nagaland,Drunken Driving/ Consumption of alcohol & drug,143,0,45,52
19,Orissa,Drunken Driving/ Consumption of alcohol & drug,246,83,154,97
20,Punjab,Drunken Driving/ Consumption of alcohol & drug,120,107,62,15
21,Rajasthan,Drunken Driving/ Consumption of alcohol & drug,135,54,31,101
22,Sikkim,Drunken Driving/ Consumption of alcohol & drug,32,9,38,29
23,Tamil Nadu,Drunken Driving/ Consumption of alcohol & drug,336,95,133,205
24,Telangana,Drunken Driving/ Consumption of alcohol & drug,1487,339,36,1368
25,Tripura,Drunken Driving/ Consumption of alcohol & drug,2,0,3,2
26,Uttarakhand,Drunken Driving/ Consumption of alcohol & drug,14,4,9,9
27,Uttar Pradesh,Drunken Driving/ Consumption of alcohol & drug,2346,1284,798,731
28,West Bengal,Drunken Driving/ Consumption of alcohol & drug,66,4,15,28
29,A & N Islands,Drunken Driving/ Consumption of alcohol & drug,30,3,3,14
30,Chandigarh,Drunken Driving/ Consumption of alcohol & drug,11,5,0,6
31,D & N Haveli,Drunken Driving/ Consumption of alcohol & drug,4,1,2,4
32,Daman & Diu,Drunken Driving/ Consumption of alcohol & drug,0,0,0,0
33,Delhi,Drunken Driving/ Consumption of alcohol & drug,16,1,1,15
34,Jammu & Kashmir*,Drunken Driving/ Consumption of alcohol & drug,0,0,0,0
35,Ladakh,Drunken Driving/ Consumption of alcohol & drug,19,5,9,13
36,Lakshadweep,Drunken Driving/ Consumption of alcohol & drug,0,0,0,0
37,Puducherry,Drunken Driving/ Consumption of alcohol & drug,8,1,2,6
1,Andhra Pradesh,Jumping Red Light,60,4,31,13
2,Arunachal Pradesh,Jumping Red Light,0,0,0,0
3,Assam,Jumping Red Light,113,29,91,10
4,Bihar,Jumping Red Light,0,0,0,0
5,Chhattisgarh,Jumping Red Light,60,4,2,49
6,Goa,Jumping Red Light,17,1,1,0
7,Gujarat,Jumping Red Light,6,1,0,4
8,Haryana,Jumping Red Light,1,0,0,0
9,Himachal Pradesh,Jumping Red Light,0,0,0,0
10,Jharkhand,Jumping Red Light,38,27,9,2
11,Karnataka,Jumping Red Light,94,2,47,124
