S. No.,States/UTs,Vehicle Type,Total Road Accidents,Killed,Greviously Injured,Minor Injured
1,Andhra Pradesh,Pedestrian,3397,1346,809,1546
2,Arunachal Pradesh,Pedestrian,5,2,4,2
3,Assam,Pedestrian,1538,713,843,109
4,Bihar,Pedestrian,3288,2798,1883,61
5,Chhattisgarh,Pedestrian,1640,701,214,912
6,Goa,Pedestrian,82,36,19,24
7,Gujarat,Pedestrian,2674,1473,975,489
8,Haryana,Pedestrian,2568,1233,502,1333
9,Himachal Pradesh,Pedestrian,534,164,271,213
10,Jharkhand,Pedestrian,680,496,275,40
11,Karnataka,Pedestrian,5579,1680,2877,1671
12,Kerala(*),Pedestrian,0,818,4762,1151
13,Madhya Pradesh,Pedestrian,6810,1715,781,5262
14,Maharashtra,Pedestrian,6148,2677,2953,914
15,Manipur,Pedestrian,69,19,17,43
16,Meghalaya,Pedestrian,74,54,24,9
17,Mizoram,Pedestrian,8,6,2,4
18,Nagaland,Pedestrian,20,12,4,5
19,Odisha,Pedestrian,1209,602,512,255
20,Punjab,Pedestrian,591,461,146,36
21,Rajasthan,Pedestrian,2744,1291,512,1375
22,Sikkim,Pedestrian,17,4,8,9
23,Tamil Nadu,Pedestrian,12541,3647,4893,4762
24,Telangana,Pedestrian,3695,1310,347,2352
25,Tripura,Pedestrian,148,60,93,1
26,Uttarakhand,Pedestrian,386,193,190,41
27,Uttar Pradesh,Pedestrian,3676,1985,1451,693
28,West Bengal,Pedestrian,5381,2911,2864,397
29,A & N  Islands,Pedestrian,22,9,6,12
30,Chandigarh,Pedestrian,41,24,1,18
31,D & N Haveli,Pedestrian,42,29,15,7
32,Daman & Diu,Pedestrian,0,0,0,0
33,Delhi,Pedestrian,1898,504,70,1466
34,Jammu & Kashmir,Pedestrian,333,101,198,556
35,Ladakh,Pedestrian,1,1,0,0
36,Lakshadweep,Pedestrian,0,0,0,0
37,Puducherry,Pedestrian,214,49,87,91
1,Andhra Pradesh,Bicycles,428,194,120,183
2,Arunachal Pradesh,Bicycles,0,0,0,0
3,Assam,Bicycles,384,257,259,105
4,Bihar,Bicycles,625,495,543,27
5,Chhattisgarh,Bicycles,435,154,67,259
6,Goa,Bicycles,13,6,2,4
7,Gujarat,Bicycles,281,111,125,58
8,Haryana,Bicycles,274,122,62,183
9,Himachal Pradesh,Bicycles,23,9,8,6
10,Jharkhand,Bicycles,190,135,75,12
11,Karnataka,Bicycles,321,71,200,106
12,Kerala(*),Bicycles,1,90,684,162
13,Madhya Pradesh,Bicycles,696,114,132,630
14,Maharashtra,Bicycles,409,143,169,108
15,Manipur,Bicycles,16,7,0,11
16,Meghalaya,Bicycles,3,2,1,0
17,Mizoram,Bicycles,0,0,0,0
18,Nagaland,Bicycles,6,2,2,3
19,Odisha,Bicycles,413,178,191,94
20,Punjab,Bicycles,339,196,122,45
21,Rajasthan,Bicycles,105,70,23,114
22,Sikkim,Bicycles,0,0,0,0
23,Tamil Nadu,Bicycles,1813,467,743,730
24,Telangana,Bicycles,205,68,18,122
25,Tripura,Bicycles,33,14,19,0
26,Uttarakhand,Bicycles,43,21,34,11
27,Uttar Pradesh,Bicycles,2257,1228,943,543
28,West Bengal,Bicycles,952,492,501,84
29,A & N  Islands,Bicycles,2,0,1,1
30,Chandigarh,Bicycles,28,17,0,14
31,D & N Haveli,Bicycles,4,3,1,0
32,Daman & Diu,Bicycles,0,0,0,0
33,Delhi,Bicycles,147,45,5,118
34,Jammu & Kashmir,Bicycles,22,12,1,56
35,Ladakh,Bicycles,0,0,0,0
36,Lakshadweep,Bicycles,1,1,0,0
37,Puducherry,Bicycles,89,18,51,47
1,Andhra Pradesh,Two Wheelers,11853,4634,3200,8298
2,Arunachal Pradesh,Two Wheelers,121,78,121,39
3,Assam,Two Wheelers,2196,997,1422,113
4,Bihar,Two Wheelers,3123,2657,2586,163
5,Chhattisgarh,Two Wheelers,7093,3375,1009,5422
6,Goa,Two Wheelers,1346,133,139,379
7,Gujarat,Two Wheelers,6900,3522,3866,2528
8,Haryana,Two Wheelers,4195,1826,637,2494
9,Himachal Pradesh,Two Wheelers,433,268,489,531
10,Jharkhand,Two Wheelers,1605,1222,944,342
11,Karnataka,Two Wheelers,16101,4938,9520,9721
12,Kerala(*),Two Wheelers,13624,1998,17809,6029
13,Madhya Pradesh,Two Wheelers,21941,5742,2873,20569
14,Maharashtra,Two Wheelers,14096,6943,7527,3102
15,Manipur,Two Wheelers,164,44,59,172
16,Meghalaya,Two Wheelers,63,39,35,12
17,Mizoram,Two Wheelers,14,17,4,6
18,Nagaland,Two Wheelers,129,13,28,45
19,Odisha,Two Wheelers,5085,2531,2679,1448
